orderDate,total_sales
2004-08-04,2611.84
2004-08-06,33347.88
2004-08-09,20009.53
2004-08-17,48298.99
2004-08-19,39641.43
2004-08-20,85507.56
2004-08-21,32260.16
2004-08-27,43134.04
2004-08-28,1960.80
2004-08-30,61402.00
2004-09-01,38785.48
2004-09-03,12538.01
2004-09-07,5858.56
2004-09-08,84131.87
2004-09-09,33924.24
2004-09-10,19484.16
2004-09-15,31310.09
2004-09-16,17359.53
2004-09-27,6066.78
2004-09-30,34341.08
2003-10-04,24101.81
2003-10-05,36798.88
2004-10-06,3474.66
2004-10-11,53116.99
2004-10-13,47411.33
2004-10-14,76158.35
2004-10-15,60216.08
2004-10-16,97375.05
2004-10-21,55639.66
2004-10-22,87339.92
2004-10-29,19501.82
2004-11-01,79933.70
2004-11-02,37586.37
2004-11-03,44349.54
2004-11-04,99155.56
2004-11-05,86504.96
2004-11-09,19206.68
2004-11-10,20564.86
2004-11-12,37654.09
2004-11-15,50025.35
2004-11-16,15822.84
2004-11-17,93153.18
2004-11-18,26248.78
2004-11-19,29480.61
2004-11-20,51209.58
2004-11-21,25505.98
2004-11-22,12081.52
2004-11-23,48927.64
2004-11-24,125129.55
2004-11-25,20564.45
2004-11-29,56186.74
2004-12-01,39964.63
2004-12-02,46493.16
2004-12-03,23330.56
2004-12-04,65744.72
2004-12-07,25529.78
2004-12-09,26311.63
2004-12-10,84861.72
2004-12-15,32600.61
2004-12-16,52166.00
2004-12-17,31835.36
2005-01-05,12692.19
2005-01-06,47619.90
2005-01-07,8307.28
2005-01-10,14379.90
2005-01-12,39580.60
2005-01-19,13874.75
2005-01-20,55406.61
2005-01-23,35137.54
2005-01-26,33967.73
2005-01-31,46770.52
2005-02-02,21432.31
2005-02-03,49523.67
2005-02-08,3452.75
2005-02-09,23602.90
2005-02-10,48910.39
2005-02-16,34404.21
2005-02-17,80391.68
2005-02-22,36851.98
2005-02-23,14155.57
2005-02-28,4466.71
2005-03-01,46968.52
2005-03-02,3516.04
2005-03-03,58260.31
2005-03-04,55902.50
2005-03-09,29848.52
2005-03-10,8807.12
2005-03-11,33593.32
2005-03-15,18102.74
2005-03-17,17928.09
2005-03-23,27695.54
2005-03-28,12432.32
2005-03-30,46656.94
2005-04-01,62009.09
2005-04-03,43525.04
2005-04-07,12190.85
2005-04-08,78685.75
2005-04-14,35157.75
2005-04-15,21638.62
2005-04-22,52845.00
2005-04-23,2326.18
2005-04-29,36442.34
2005-05-01,29070.38
2005-05-03,46895.48
2005-05-05,28500.78
2005-05-06,50806.85
2005-05-09,10945.26
2005-05-10,35362.26
2005-05-13,28574.90
2005-05-16,23627.44
2005-05-17,52420.07
2005-05-29,49890.61
2005-05-30,14447.17
2005-05-31,70933.74
